number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link
4853,5-HT4,HTR4,399,BIMU 1,,,,3H-GR-113808,GUINEA PIG,STRIATUM,,15.84,"ANSANAY H, ET AL.,1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8867105&dopt=Abstract
4854,5-HT4,HTR4,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-GR-113808,GUINEA PIG,STRIATUM,,50.11,"ANSANAY H, ET AL.,1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8867105&dopt=Abstract
4855,5-HT4,HTR4,1594,RENZAPRIDE,COC1=CC(=C(C=C1C(=O)NC2CCN3CCCC2C3)Cl)N.Cl,109872-41-5,,3H-GR-113808,GUINEA PIG,STRIATUM,,100.0,"ANSANAY H, ET AL.,1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8867105&dopt=Abstract
4856,5-HT4,HTR4,956,ICS 205-930,CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43,656665,,3H-GR-113808,GUINEA PIG,STRIATUM,,63.09,"ANSANAY H, ET AL.,1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8867105&dopt=Abstract
4857,5-HT4,HTR4,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-GR-113808,GUINEA PIG,STRIATUM,,316.22,"ANSANAY H, ET AL.,1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8867105&dopt=Abstract
4858,5-HT2B,HTR2B,1095,"LSD,2-Bromo",,,,3H-5HT,HUMAN,CLONED,,8.09,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4860,5-HT2B,HTR2B,552,CLOZAPINE,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,5786-21-0,,3H-5HT,HUMAN,CLONED,,7.15,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4861,5-HT2B,HTR2B,918,HALOPERIDOL,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,52-86-8,170973.0,3H-5HT,HUMAN,CLONED,,1420.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4862,5-HT2B,HTR2B,1014,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,74050-98-9,,3H-5HT,HUMAN,CLONED,,372.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4863,5-HT2B,HTR2B,1168,mCPP,C1CN(CCN1)C2=CC(=CC=C2)Cl,93-65-2,60282.0,3H-5HT,HUMAN,CLONED,,28.8,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4864,5-HT2B,HTR2B,1206,MESULERGINE,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)NS(=O)(=O)N(C)C,64795-35-3,,3H-5HT,HUMAN,CLONED,,3.3,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4865,5-HT2B,HTR2B,1230,METHYSERGIDE,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,361-37-5,,3H-5HT,HUMAN,CLONED,,1.51,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4866,5-HT2B,HTR2B,1235,MIANSERIN,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,24219-97-4,,3H-5HT,HUMAN,CLONED,,8.98,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4867,5-HT2B,HTR2B,161,"5-HT,N-ACETYL",CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2725,,3H-5HT,HUMAN,CLONED,,6800.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4868,5-HT2B,HTR2B,1590,RAUWOLSCINE,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,6211-32-1,407307.0,3H-5HT,HUMAN,CLONED,,14.3,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4869,5-HT2B,HTR2B,1602,RITANSERIN,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,87051-43-2,,3H-5HT,HUMAN,CLONED,,1.64,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4870,5-HT2B,HTR2B,1739,SPIPERONE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,749-02-0,170983.0,3H-5HT,HUMAN,CLONED,,592.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4871,5-HT2B,HTR2B,1743,SPIROXATRINE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4,1054-88-2,665322.0,3H-5HT,HUMAN,CLONED,,475.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4872,5-HT2B,HTR2B,1987,YOHIMBINE,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,146-48-5,,3H-5HT,HUMAN,CLONED,,43.2,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4873,5-HT2B,HTR2B,1151,LY 53857,CC(C)N1C=C2CC3C(CC(CN3C)C(=O)OC(C)C(C)O)C4=C2C1=CC=C4.C(=CC(=O)O)C(=O)O,60634-51-7,,3H-5HT,HUMAN,CLONED,,1.53,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4874,5-HT2B,HTR2B,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-5HT,HUMAN,CLONED,,3.25,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4875,5-HT2B,HTR2B,1095,"LSD,2-Bromo",,,,3H-RAUWOLSCINE,HUMAN,CLONED,,7.47,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4876,5-HT2B,HTR2B,552,CLOZAPINE,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,5786-21-0,,3H-RAUWOLSCINE,HUMAN,CLONED,,3.43,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4877,5-HT2B,HTR2B,918,HALOPERIDOL,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,52-86-8,170973.0,3H-5HT,HUMAN,CLONED,,372.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4878,5-HT2B,HTR2B,1014,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,74050-98-9,,3H-RAUWOLSCINE,HUMAN,CLONED,,217.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4879,5-HT2B,HTR2B,1168,mCPP,C1CN(CCN1)C2=CC(=CC=C2)Cl,93-65-2,60282.0,3H-RAUWOLSCINE,HUMAN,CLONED,,10.5,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4880,5-HT2B,HTR2B,1206,MESULERGINE,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)NS(=O)(=O)N(C)C,64795-35-3,,3H-RAUWOLSCINE,HUMAN,CLONED,,1.92,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4881,5-HT2B,HTR2B,1219,METHIOTHEPIN,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,19728-88-2,,3H-RAUWOLSCINE,HUMAN,CLONED,,0.58,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4882,5-HT2B,HTR2B,1230,METHYSERGIDE,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,361-37-5,,3H-RAUWOLSCINE,HUMAN,CLONED,,0.64,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4883,5-HT2B,HTR2B,1235,MIANSERIN,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,24219-97-4,,3H-RAUWOLSCINE,HUMAN,CLONED,,5.44,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4884,5-HT2B,HTR2B,161,"5-HT,N-ACETYL",CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2725,,3H-RAUWOLSCINE,HUMAN,CLONED,,4170.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4885,5-HT2B,HTR2B,1590,RAUWOLSCINE,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,6211-32-1,407307.0,3H-RAUWOLSCINE,HUMAN,CLONED,,4.12,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4886,5-HT2B,HTR2B,1602,RITANSERIN,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,87051-43-2,,3H-RAUWOLSCINE,HUMAN,CLONED,,0.4,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4887,5-HT2B,HTR2B,1739,SPIPERONE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,749-02-0,170983.0,3H-RAUWOLSCINE,HUMAN,CLONED,,317.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4888,5-HT2B,HTR2B,1743,SPIROXATRINE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4,1054-88-2,665322.0,3H-RAUWOLSCINE,HUMAN,CLONED,,173.0,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4889,5-HT2B,HTR2B,1987,YOHIMBINE,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,146-48-5,,3H-RAUWOLSCINE,HUMAN,CLONED,,13.2,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4890,5-HT2B,HTR2B,1151,LY 53857,CC(C)N1C=C2CC3C(CC(CN3C)C(=O)OC(C)C(C)O)C4=C2C1=CC=C4.C(=CC(=O)O)C(=O)O,60634-51-7,,3H-RAUWOLSCINE,HUMAN,CLONED,,0.74,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4891,5-HT2B,HTR2B,32,1-NP,C1CN(CCN1)C2=CC=CC3=CC=CC=C32,57536-86-4,,3H-RAUWOLSCINE,HUMAN,CLONED,,0.89,"WAINSCOTT DB, ET AL., 1998",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9459568&dopt=Abstract
4892,5-HT2A,HTR2A,1014,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,74050-98-9,,125I-DOI,HUMAN,CLONED,,2.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4893,5-HT2A,HTR2A,1129,LY 063518,,,,125I-DOI,HUMAN,CLONED,,137.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4894,5-HT2A,HTR2A,1143,LY 314228,,,,125I-DOI,HUMAN,CLONED,,65.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4895,5-HT2A,HTR2A,1144,LY 320950,,,,125I-DOI,HUMAN,CLONED,,248.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4896,5-HT2A,HTR2A,1145,LY 320951,,,,125I-DOI,HUMAN,CLONED,,839.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4897,5-HT2A,HTR2A,1146,LY 320954,,,,125I-DOI,HUMAN,CLONED,,96.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4898,5-HT2A,HTR2A,1147,LY 334359,,,,125I-DOI,HUMAN,CLONED,,569.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4899,5-HT2A,HTR2A,1148,LY 334362,,,,125I-DOI,HUMAN,CLONED,,179.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4900,5-HT2B,HTR2B,1129,LY 063518,,,,3H-KETANSERIN,HUMAN,CLONED,,472.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4901,5-HT2B,HTR2B,1143,LY 314228,,,,3H-KETANSERIN,HUMAN,CLONED,,1214.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4902,5-HT2B,HTR2B,1144,LY 320950,,,,3H-KETANSERIN,HUMAN,CLONED,,465.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4903,5-HT2B,HTR2B,1145,LY 320951,,,,3H-KETANSERIN,HUMAN,CLONED,,2926.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4904,5-HT2B,HTR2B,1146,LY 320954,,,,3H-KETANSERIN,HUMAN,CLONED,,1642.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4905,5-HT2B,HTR2B,1147,LY 334359,,,,3H-KETANSERIN,HUMAN,CLONED,,388.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4906,5-HT2B,HTR2B,1148,LY 334362,,,,3H-KETANSERIN,HUMAN,CLONED,,477.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4907,5-HT2B,HTR2B,1149,LY 335102,,,,3H-KETANSERIN,HUMAN,CLONED,,7911.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4908,5-HT2B,HTR2B,1014,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,74050-98-9,,3H-KETANSERIN,HUMAN,CLONED,,372.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4909,5-HT2C,HTR2C,1129,LY 063518,,,,125I-DOI,HUMAN,CLONED,,1659.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4911,5-HT2C,HTR2C,1143,LY 314228,,,,125I-DOI,HUMAN,CLONED,,168.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4913,5-HT2C,HTR2C,1144,LY 320950,,,,125I-DOI,HUMAN,CLONED,,188.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4915,5-HT2C,HTR2C,1145,LY 320951,,,,125I-DOI,HUMAN,CLONED,,1188.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4916,5-HT2C,HTR2C,1146,LY 320954,,,,125I-DOI,HUMAN,CLONED,,257.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4917,5-HT2C,HTR2C,1147,LY 334359,,,,125I-DOI,HUMAN,CLONED,,401.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4918,5-HT2C,HTR2C,1148,LY 334362,,,,125I-DOI,HUMAN,CLONED,,91.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4919,5-HT2C,HTR2C,1149,LY 335102,,,,125I-DOI,HUMAN,CLONED,,9728.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4920,5-HT2C,HTR2C,1014,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,74050-98-9,,125I-DOI,HUMAN,CLONED,,161.0,"BRYANT HU, ET AL., 1996",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8845011&dopt=Abstract
4921,5-HT2A,HTR2A,1626,RS-102221,,,,3H-KETANSERIN,HUMAN,CLONED,,1122.01,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4923,5-HT2B,HTR2B,1626,RS-102221,,,,3H-5HT,HUMAN,CLONED,,812.83,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4924,5-HT2C,HTR2C,1626,RS-102221,,,,3H-MESULERGINE,HUMAN,CLONED,,3.8,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4925,5-HT2A,HTR2A,1626,RS-102221,,,,3H-KETANSERIN,RAT,CLONED,,141.25,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4926,5-HT2C,HTR2C,1626,RS-102221,,,,3H-MESULERGINE,RAT,CLONED,,3.54,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4928,5-HT2A,HTR2A,1626,RS-102221,,,,3H-KETANSERIN,HUMAN,BRAIN CORTEX,,1905.46,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4929,5-HT2C,HTR2C,1626,RS-102221,,,,3H-MESULERGINE,HUMAN,Choroid Plexus,,7.41,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4943,5-HT1A,HTR1A,1626,RS-102221,,,,3H-8-OH-DPAT,RAT,CORTEX,>,10000.0,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4946,5-HT3,HTR3A,1626,RS-102221,,,,3H-QUIPAZINE,MOUSE,NG108-15,>,10000.0,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4948,5-HT7,HTR7,1626,RS-102221,,,,3H-5CT,GUINEA PIG,BRAIN CORTEX,>,10000.0,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4956,5-HT2A,HTR2A,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-KETANSERIN,RAT,CLONED,,141.25,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4957,5-HT2A,HTR2A,446,BUSPIRONE,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,36505-84-7,,3H-KETANSERIN,RAT,CLONED,,758.57,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4958,5-HT2A,HTR2A,552,CLOZAPINE,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,5786-21-0,,3H-KETANSERIN,RAT,CLONED,,10.96,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4959,5-HT2A,HTR2A,606,CYPROHEPTADINE,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,129-03-3,,3H-KETANSERIN,RAT,CLONED,,0.79,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4960,5-HT2A,HTR2A,736,DP-5-CT,CCCN(CCC)CCC1=CNC2=C1C=C(C=C2)C(=O)N,156314,,3H-KETANSERIN,RAT,CLONED,>,10000.0,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4961,5-HT2A,HTR2A,797,ERGOTAMINE,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,113-15-5,95090.0,3H-KETANSERIN,RAT,CLONED,,1.41,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4962,5-HT2A,HTR2A,830,FLUOXETINE,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,54910-89-3,,3H-KETANSERIN,RAT,CLONED,,147.91,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
4963,5-HT2A,HTR2A,880,GR 113808,CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C,119376,,3H-KETANSERIN,RAT,CLONED,>,10000.0,"BONHAUS DW, ET AL., 1997",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9225287&dopt=Abstract
